sector,BC,BC_VI,Diferencia
Agric; forestal,6470.5,7013.262377022199,-542.762377022199
Pesca,480.1,479.25445943548283,0.8455405645171936
Petróleo y gas,589,830.4937956399132,-241.49379563991317
Minería,2398.8,2412.571084491685,-13.771084491684633
Apoyo a minería,-157.3,21.859465244563072,-179.15946524456308
Alim.; beb.; tabaco,13023.699999999999,10104.844335620564,2918.8556643794345
Textiles y cuero,156.5,121.47136659945113,35.02863340054887
Prod. Madera,-20.10000000000001,53.650301541828846,-73.75030154182886
Papel e impr.,-74.60000000000002,168.452837772645,-243.05283777264503
Ref. petróleo,-729.5999999999999,-29.039083950455506,-700.5609160495444
Químicos,1080.1000000000001,1576.8642570635388,-496.7642570635387
Farmacéutica,-234.5,-203.26836054160617,-31.23163945839383
Caucho y plástico,-830.3,107.86087415764166,-938.1608741576416
Miner. no metálicos,-203.3,33.3508745382899,-236.6508745382899
Metales básicos,620.4,1232.882486466249,-612.482486466249
Prod. metal,-72.80000000000007,283.3727092265382,-356.17270922653825
Electrónica,-1055.8,-837.336395323297,-218.46360467670297
Eq. eléctrico,-352.30000000000007,-254.65079031167593,-97.64920968832413
Maq. y equipo,-421.79999999999995,-245.59789682764927,-176.2021031723507
Automotriz,1559,1656.584999921824,-97.58499992182396
Otro eq. transp.,-78.19999999999999,-62.40823401092743,-15.791765989072559
Otra manuf.,-130.20000000000002,-130.38374435931095,0.18374435931093558
Elec; gas,-1112.2,-605.1884358634485,-507.01156413655156
Agua,-205.3,-149.39475832738952,-55.90524167261049
Construcción,-2097.7,-2922.213825045336,824.513825045336
Comercio,11892.8,11687.513624990643,205.28637500935656
Transporte terr.,-954.5999999999999,-805.4275112421155,-149.17248875788437
Transporte acu.,59.400000000000006,48.35607589821043,11.043924101789578
Transporte aéreo,568.6,408.09029347968067,160.50970652031936
Apoyo a transporte,694.9000000000001,845.8076557696556,-150.90765576965555
Correos,-2.799999999999997,24.963016342880568,-27.763016342880565
Hoteles y rest.,-619.5,-1557.3308149402908,937.8308149402908
Publicaciones,-381.1999999999998,64.39674658090587,-445.5967465809057
Telecomunicaciones,94.20000000000005,498.66755374109914,-404.4675537410991
IT,719.1,1182.211459424623,-463.1114594246229
Finanzas y seguros,-709.9,-683.6397479674209,-26.260252032579046
Inmobiliaria,-510.50000000000006,-931.001829655493,420.50182965549294
Serv. prof.,2164,2478.527264302168,-314.5272643021681
Serv. admin.,375.4,623.5338628318185,-248.13386283181853
Admin. pub.,-924.5,-1947.1694198298103,1022.6694198298103
Educación,-265.2,-641.724959883291,376.52495988329105
Salud,-1062.1,-1680.5947071349333,618.4947071349334
Entretenimiento,-193.4,-346.30001130159917,152.90001130159916
Otros serv.,-413.2,-792.5732515880475,379.3732515880475
Serv. doméstico,0,0,0
